Result,Move_ply_1,Move_ply_2,Move_ply_3,Move_ply_4,Move_ply_5,Move_ply_6,Move_ply_7,Move_ply_8,Move_ply_9,Move_ply_10,Move_ply_11,Move_ply_12,Move_ply_13,Move_ply_14,Move_ply_15,Move_ply_16,Move_ply_17,Move_ply_18,Move_ply_19,Move_ply_20,Move_ply_21,Move_ply_22,Move_ply_23,Move_ply_24,Move_ply_25,Move_ply_26,Move_ply_27,Move_ply_28,Move_ply_29,Move_ply_30,Move_ply_31,Move_ply_32,Move_ply_33,Move_ply_34,Move_ply_35,Move_ply_36,Move_ply_37,Move_ply_38,Move_ply_39,Move_ply_40,Move_ply_41,Move_ply_42,Move_ply_43,Move_ply_44,Move_ply_45,Move_ply_46,Move_ply_47,Move_ply_48,Move_ply_49,Move_ply_50,Move_ply_51,Move_ply_52,Move_ply_53,Move_ply_54,Move_ply_55,Move_ply_56,Move_ply_57,Move_ply_58,Move_ply_59,Move_ply_60,Move_ply_61,Move_ply_62,Move_ply_63,Move_ply_64,Move_ply_65,Move_ply_66,Move_ply_67,Move_ply_68,Move_ply_69,Move_ply_70,Move_ply_71,Move_ply_72,Move_ply_73,Move_ply_74,Move_ply_75,Move_ply_76,Move_ply_77,Move_ply_78,Move_ply_79,Move_ply_80,Move_ply_81,Move_ply_82,Move_ply_83,Move_ply_84,Move_ply_85,Move_ply_86,Move_ply_87,Move_ply_88,Move_ply_89,Move_ply_90,Move_ply_91,Move_ply_92,Move_ply_93,Move_ply_94,Move_ply_95,Move_ply_96,Move_ply_97,Move_ply_98,Move_ply_99,Move_ply_100,Move_ply_101,Move_ply_102,Move_ply_103,Move_ply_104,Move_ply_105,Move_ply_106,Move_ply_107,Move_ply_108,Move_ply_109,Move_ply_110,Move_ply_111,Move_ply_112,Move_ply_113,Move_ply_114,Move_ply_115,Move_ply_116,Move_ply_117,Move_ply_118,Move_ply_119,Move_ply_120,Move_ply_121,Move_ply_122,Move_ply_123,Move_ply_124,Move_ply_125,Move_ply_126,Move_ply_127,Move_ply_128,Move_ply_129,Move_ply_130,Move_ply_131,Move_ply_132,Move_ply_133,Move_ply_134,Move_ply_135,Move_ply_136,Move_ply_137,Move_ply_138,Move_ply_139,Move_ply_140,Move_ply_141,Move_ply_142,Move_ply_143,Move_ply_144,Move_ply_145,Move_ply_146,Move_ply_147,Move_ply_148,Move_ply_149,Move_ply_150,Move_ply_151,Move_ply_152,Move_ply_153,Move_ply_154,Move_ply_155,Move_ply_156,Move_ply_157,Move_ply_158,Move_ply_159,Move_ply_160,Move_ply_161,Move_ply_162,Move_ply_163,Move_ply_164,Move_ply_165,Move_ply_166,Move_ply_167,Move_ply_168,Move_ply_169,Move_ply_170,Move_ply_171,Move_ply_172,Move_ply_173,Move_ply_174,Move_ply_175,Move_ply_176,Move_ply_177,Move_ply_178,Move_ply_179,Move_ply_180,Move_ply_181,Move_ply_182,Move_ply_183,Move_ply_184,Move_ply_185,Move_ply_186,Move_ply_187,Move_ply_188,Move_ply_189,Move_ply_190,Move_ply_191,Move_ply_192,Move_ply_193,Move_ply_194,Move_ply_195,Move_ply_196,Move_ply_197,Move_ply_198,Move_ply_199,Move_ply_200
1/2-1/2,e3,a5,Qh5,Ra6,Qxa5,h5,Qxc7,Rah6,h4,f6,Qxd7+,Kf7,Qxb7,Qd3,Qxb8,Qh7,Qxc8,Kg6,Qe6#,,,,,,,
0-1,d4,d5,Nc3,c6,e4,h5,exd5,cxd5,Qf3,Bg4,Qf4,e6,Bb5+,Nc6,f3,Bd6,Qe3,Bf5,a4,a6,Bd3,Bxd3,Qxd3,Nb4,Qe3,Nxc2+,Kd1,Nxe3+,Bxe3,f5,Nh3,Ne7,f4,Qb6,Rb1,Ng6,g3,O-O-O,Ng5,Qb3+,Kd2,b5,a5,b4,Ne2,Kb7,Nf7,Rc8,Nxd6+,Kb8,Nxc8,Rxc8,Nc1,Qc2+,Ke1,Qxb1,Ke2,Qxb2+,Kf3,Rc3,Ne2,Rc2,Bc1,Qb3+,Kf2,e5,fxe5,f4,gxf4,Nxf4,Re1,Nh3+,Kf1,Qf3#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,e4,e5,Nf3,Nc6,Bc4,d6,Nc3,h6,d4,exd4,Nxd4,Nf6,Nxc6,bxc6,e5,dxe5,Qxd8+,Kxd8,O-O,Be6,Bxe6,fxe6,Rd1+,Bd6,Be3,Ng4,Ne4,Nxe3,fxe3,Ke7,c4,c5,g4,g5,Kg2,Rab8,b3,a5,Rab1,h5,Kg3,hxg4,Nxg5,e4+,Kg2,Rxh2+,Kg1,Rxa2,Nxe4,Be5,Nxc5,Rh8,Rd7+,Kf6,Rxc7,Bh2+,Kf1,g3,Nd7+,Kf5,Rc5+,Ke4,Re5+,Kf3,Rxe6,g2+,Ke1,g1=Q#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,e5,Nf3,d6,c3,Be7,d4,exd4,cxd4,Nf6,Bd3,h6,O-O,O-O,Nc3,Nc6,a3,Bg4,Bc2,Bxf3,gxf3,Nh7,Be3,Bf6,Kh1,Kh8,Re1,Bh4,f4,Qd7,Rg1,Qh3,Qe2,Bf6,e5,dxe5,dxe5,Be7,Rad1,Rfd8,Be4,Rxd1,Qxd1,Rd8,Qb3,Qc8,Qxf7,Rg8,Qh5,Qe8,Bg6,Qd7,Rd1,Qe6,Nd5,Rd8,Be4,Na5,Nxe7,Rxd1+,Qxd1,Qxe7,Qd5,Nc6,Qb3,Na5,Qb5,b6,b4,Nb3,Qd3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,e5,Nb5,a6,Nd6+,Bxd6,Qxd6,Qe7,Qxe7+,Ngxe7,Nc3,Nd4,Bd3,Nec6,Be3,O-O,Nd5,Re8,c3,Nb5,O-O,Ne7,Nb6,Rb8,Nc4,Ng6,Bc5,Rd8,Bd6,Ra8,Nb6,Nxd6,Nxa8,b5,Nb6,Nf4,Bc2,Bb7,f3,Ne2+,Kf2,Nf4,g3,Ne6,Bb3,Nc7,Rad1,Nc8,Rxd7,Rxd7,Nxd7,Kh8,Nxe5,f6,Nf7+,Kg8,Nd6+,Kf8,Nxb7,Ke7,Rd1,Nb6,Nc5,Ne6,Nxe6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,d4,b6,e4,Bb7,Bd3,e6,Nf3,Nf6,e5,Nd5,c4,Nb4,Be2,c5,a3,N4a6,d5,exd5,cxd5,Be7,d6,Bh4,Qa4,Bxf3,Bxf3,Bg5,Bxg5,Qxg5,O-O,O-O,Bxa8,Qxe5,Nc3,Qxd6,Rad1,Qc7,Bd5,Re8,Rfe1,Rd8,Nb5,Qc8,Nd6,Qc7,Qf4,Rf8,Qxf7+,Rxf7,Re8#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,e4,c6,d4,d5,exd5,cxd5,c4,Nf6,Nc3,Nc6,Nf3,Bg4,cxd5,Nxd5,Be2,e6,O-O,Bb4,Nxd5,Qxd5,a3,Bd6,Be3,O-O,Rc1,Qh5,h3,Bxh3,gxh3,Qxh3,Ng5,Qh2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,Nf3,Nf6,g3,d5,Bg2,Bg4,O-O,e6,d3,c5,Nbd2,Nc6,b3,Bd6,Bb2,O-O,h3,Bxf3,Nxf3,e5,e4,dxe4,dxe4,Nxe4,Nh4,Ng5,Nf5,Bc7,Qg4,Ne6,Bxc6,bxc6,Rad1,Qg5,Qxg5,Nxg5,Kg2,Rfe8,Rd7,Ne6,Re1,Red8,Rxd8+,Rxd8,Bxe5,Bxe5,Rxe5,Rd5,Ne7+,Kf8,Nxd5,cxd5,Rxd5,Ke7,c4,Kf6,f4,h6,f5,Nd4,g4,g6,fxg6,fxg6,Rxc5,Ke6,Rc7,a5,Rh7,h5,gxh5,gxh5,Rxh5,a4,bxa4,Nc6,Rg5,Kf6,h4,Ne5,Kg3,Nf7,Rb5,Nd6,Rb6,Ke5,c5,Ne4+,Kg4,Nxc5,Rb5,Kd6,Rxc5,Kxc5,h5,Kb4,h6,Kxa4,h7,Ka3,h8=Q,Kxa2,Qc3,Kb1,Qd2,Ka1,Qh2,Kb1,Kf3,Ka1,Ke3,Kb1,Kd3,Kc1,Qc2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,e4,c5,Nf3,e6,d4,cxd4,Nxd4,Nc6,Nc3,Qc7,Ndb5,Qb8,g3,a6,Nd4,Nf6,Bg2,Be7,O-O,O-O,f4,d6,Be3,b5,a3,Bb7,Qd2,Rd8,Nxc6,Bxc6,Qf2,Bd7,e5,dxe5,Bxa8,Qxa8,fxe5,Ng4,Qxf7+,Kh8,Bd2,Bc5+,Rf2,Bxf2+,Kf1,Qh1+,Ke2,Qxa1,Qe7,Bb6,Ne4,Qxb2,Qd6,Qxe5,Qxb6,Qxe4+,Kd1,Qc6,Qxd8+,Be8,Qe7,h6,h3,Nf2+,Kc1,Bg6,c3,Qh1+,Kb2,Nd3+,Ka2,Qg2,Ka1,Qf1+,Ka2,Qf2,Ka1,Qxd2,Qf8+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,e4,e5,d4,Nc6,Nf3,exd4,Nxd4,Nxd4,Qxd4,b6,Bb5,Nf6,e5,c5,Qe3,Nd5,Qd3,Bb7,O-O,Be7,Re1,O-O,Qg3,f6,Bh6,Rf7,exf6,Bxf6,Bc4,a6,Nc3,Qb8,Nxd5,Qxg3,hxg3,Bxb2,Ne7+,Kf8,Rad1,Rxe7,Rxe7,Kxe7,Bxg7,Bxg7,Re1+,Kf8,g4,d5,Bd3,c4,Bxh7,Re8,Rb1,b5,Bg6,Re6,f4,Rxg6,f5,Rg5,Re1,Bc6,Kf2,Rxg4,Re5,Bxe5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
